#Gene	log2(fold-change)array	q-value_array	log2(fold-change)RNA_seq	q-value_RNA_seq
MECOM	0.378523976399493	0.193596368839403	1.79797	0.159567
POLH	0.021541203476383	0.405962555419933	0.0609997	0.978891
SYBU	-0.305610282873176	0.0396117995940189	0.116147	0.939343
DDX17	-0.080367735361016	0.294747085857592	0.00502987	0.994618
CAMTA2	-0.204767562095334	0.0952448777681361	-0.491536	0.816846
C11orf74	0.100236997621477	0.320530646487445	0.338539	0.894456
SNAPC2	0.107085673253872	0.277920929645201	-0.578998	0.8095
FILIP1L	0.147783929216369	0.303317891599174	0.880432	0.733311
PDE4DIP	-0.0228542509898338	0.329472646175385	0.410948	0.786153
RASGRP4	0.0863672283478151	0.343911358829279	-inf	0.00505161
LRRC1	-0.400545100161419	0.0228519392461815	-0.969583	0.646039
C19orf35	-0.00599910587504675	0.405642630708477	inf	0.526526
SCN7A	0.109365403352711	0.222196050399439	inf	0.116411
GAS1	0.193321187224582	0.23795011755307	-0.0764981	0.876643
DGKA	0.13752990726315	0.00810391704982231	0.338521	0.788194
ESRP1	0.2989408428323	0.198717203472475	inf	0.074385
NADK	0.390682747840321	0.180402174119962	-0.472427	0.766399
SGSH	-0.0269676752198918	0.350094760105859	0.923507	0.545323
NLRP8	0.063819598574319	0.382655135219201	inf	0.418608
ZNF263	0.295282455358676	0.0282246060664242	0.129954	0.955569
ZMYM4	-0.00150984651341587	0.403189127551403	0.94078	0.487389
STK32B	0.216958523754599	0.237324228574858	inf	0.0535299
ATP6AP2	-0.24324833535733	0.221800033726164	0.202884	0.906082
GDPD2	0.253412603236772	0.185484157581023	-inf	0.348902
ABHD10	-0.115356140383655	0.278030728763655	1.83039	0.418608
SLC35C1	-0.498457430436909	0.0145910968432005	-0.398426	0.864713
CKAP2L	1.92911182391619	0.014170429369185	3.33854	0.373088
KIF1A	0.179553097586267	0.240707259807051	-inf	0.0373052
RSPRY1	0.0355875471841723	0.375090262336578	0.331587	0.862976
VCAN	-0.54558520679874	0.0661949640030136	-0.687541	0.561748
UBE2A	0.260950048679311	0.202497237427357	-0.0490174	0.971264
SYDE1	-0.191291177893075	0.20041163452892	-1.37607	0.526526
CYP27C1	0.187190822492517	0.276147603185835	inf	0.402768
HERC5	-0.00981920978073482	0.391288286279463	-1.24642	0.531613
MED12L	0.15950589277045	0.185044912083382	-1.66146	0.526526
ZDHHC21	0.0520223714135908	0.384951176727766	0.623942	0.772646
LEKR1	0.355663853637688	0.111149076236158	1.50846	0.418608
NHS	-0.402238746620643	0.00614653511904341	-0.680569	0.695075
FBXL16	0.233326777775165	0.209992315840682	inf	0.394602
C19orf68	0.190515995373516	0.184419138467576	0.660468	0.85015
TM9SF3	0.142762086619036	0.297659210759757	1.15082	0.418608
DDHD1	0.599590286506136	0.0677665103973647	1.50846	0.418608
RBM41	-0.0345953528304191	0.369698887482754	1.21301	0.447608
PPP6R3	0.877637311330478	0.0162738463992343	1.81186	0.123722
BICD2	-0.404053618115078	0.0130312912774146	-1.00696	0.418608
CDH7	-0.117183587942888	0.297925682944469	2.33854	0.418608
ALKBH5	-0.108096917920355	0.106573696592769	0.197261	0.932808
JUP	0.0545995789360209	0.39420783877741	-inf	0.009135
SHANK2	0.0656912374320861	0.366917122690274	inf	0.00505161
TMEM41A	0.96922310498448	0.00201003379768041	1.58646	0.418608
OSBP2	0.227455048687559	0.178776676438907	1.04903	0.536148
ACOXL	0.230740235804958	0.194292150203592	-0.0764794	0.948951
CBX3	0.271411599752463	0.0206919259220624	0.383656	0.930009
DAK	0.0179741785035982	0.36798934470229	-1.18615	0.526526
C3orf58	0.204367882029523	0.132032126378091	inf	0.0298964
RBMXL2	0.208729260669626	0.231571962861531	-inf	0.418608
TCL1B	0.0786274513257252	0.341700028625638	-inf	0.00505161
PLA2G4D	0.226058080563071	0.225443527208439	-inf	0.244433
FGF13	-0.0113071286012405	0.389004567977015	-1.14063	0.526526
KBTBD2	0.121829496841797	0.304487767439451	0.271425	0.880062
UBE2E2	-0.128705318117712	0.245960397530078	-0.191975	0.932258
KIF3A	-0.270051105408346	0.263230055590495	0.760003	0.625781
MYL9	-1.66479916600171	0.00144123865115884	-0.994036	0.569301
DCXR	-0.0970336572952534	0.128376181470347	0.639709	0.644164
PDIA6	-0.00751270276990654	0.416822124740305	0.485157	0.725765
CDC23	-0.440396291668341	0.104063784373321	0.116156	0.962009
CASKIN2	0.0554269339542367	0.323096910778142	-0.491536	0.864244
PBXIP1	-0.330869842045627	0.057166636935638	0.60764	0.648091
TAB3	0.819961744717828	0.0125566080790929	1.15797	0.421329
EHD1	0.438195367880095	0.00287186549143747	-0.859346	0.526526
ILDR2	0.524680372946933	0.012233921590186	2.56736	0.1722
GGTLC1	0.15892072871006	0.267633180365771	inf	0.418608
MARCKSL1	-0.204115519233632	0.143262040733954	-1.0765	0.695075
ZNF496	0.328644696978597	0.0579602360798187	-0.191975	0.941676
SCAF1	0.113070690593189	0.116711607910069	-0.112122	0.948769
CDKN1A	-1.11333764057625	0.00218297607278541	-1.56469	0.232717
ZNF550	0.388891601063698	0.0169829789908359	-0.0764981	0.966881
TRAF3IP3	0.412578709878284	0.158001214237676	inf	0.00505161
LSR	0.209479562382013	0.206750691783326	1.9235	0.400513
MIS12	1.23764490532884	0.0393730271842391	0.0610037	0.970551
TRIML2	0.00355586747914221	0.402805956298428	-0.317506	0.876643
LIPC	0.150755131536695	0.274894756582563	inf	0.169625
DIO1	0.462628773660487	0.0589140898589168	-inf	0.00505161
EIF2B1	-0.24098009540546	0.0711179140900352	-0.269143	0.916547
GSTZ1	-0.102897517207383	0.0673339209219636	-1.14688	0.530795
PAK4	0.15490010337561	0.266388292832674	-0.491536	0.783359
RNF10	-0.342820030326178	0.0363483592339081	-0.0242973	0.982305
ZNF567	0.190522185472427	0.266787010606749	0.923502	0.876643
FAT1	-0.115010821993188	0.206600190922452	-1.15195	0.418608
MAGOH	-0.215255429547084	0.135156781906389	0.116147	0.95759
CENPB	0.271005963471843	0.156603514670851	0.476043	0.795761
GATA2	0.179529444928605	0.259187957618427	-0.0764981	0.946463
HIST1H4H	0.649406943389247	0.0151460164712174	0.508464	0.908271
CELSR2	0.0984990901801457	0.288234786863604	-0.0764981	0.968131
ZNF37BP	0.312996135620482	0.179214216748552	-0.339533	0.90793
TBRG1	-0.0580017286386461	0.310186643404101	0.20361	0.926344
STAM2	-0.562613639428667	0.108181541673205	-0.439068	0.822714
GPC3	0.0758591840989593	0.381263616238086	inf	0.263355
SV2A	0.317951319303524	0.0298572496140298	0.834693	0.526526
TAF1C	-0.0286659455841806	0.359993498651977	-0.561925	0.715363
EBNA1BP2	-0.382995653706869	0.110518796464028	-0.343012	0.826145
CIAPIN1	0.010135333882687	0.417883492369671	0.376026	0.904778
GSG1	0.461812369102384	0.028057265044783	inf	0.0461019
CSTB	-0.491618912064416	0.00209366982471144	-1.53755	0.290924
PTPRJ	-0.250203210855493	0.130961406808999	-1.18856	0.418608
PLEKHJ1	0.342943240139874	0.015411552843837	0.96657	0.724592
ZNF668	0.142476631417818	0.199171863362375	-0.076502	0.968131
ANXA2P1	-0.350946201268882	0.164903757763111	-0.924495	0.596842
CENPI	1.35755589112395	0.0260760256708824	2.12514	0.417846
HOOK1	0.104858237366451	0.323185774355338	inf	0.181858
GTF2E2	-0.623808342590348	0.0478480982957764	-0.327635	0.846703
IL17B	0.249630203797681	0.252838466712237	-inf	0.28773
MLKL	0.190865160497269	0.108515647895993	-0.661461	0.791373
TTC14	-0.435449104827076	0.109925468437558	-0.294059	0.939512
CCNF	0.576888087843214	0.00381074973283131	0.364074	0.876643
KLHL5	-0.0576266541000892	0.358160794338095	0.338538	0.859265
CRYL1	0.259270781250623	0.0575180513985203	inf	0.124448
FOXH1	0.275666818455012	0.162077295177514	-1.39843	0.823891
NFYB	0.299915800883025	0.103293688210069	1.17143	0.541463
KCNQ3	0.258183317956151	0.203845155387393	1.62394	0.42357
PPM1G	0.292430440126355	0.0487913807200089	1.25086	0.418608
NOVA1	0.175932009938479	0.136457026109331	-0.246423	0.909198
FZD3	0.126541705032741	0.171504240142232	-0.202029	0.9446
AKAP8	-0.439449959410075	0.00902133245554102	-1.0297	0.526526
NMT1	-0.416543196599033	0.0436817770617983	-0.250525	0.876643
SOCS5	-0.139858494660669	0.0064419033633897	-0.643539	0.733592
HADHA	-0.543463010799639	0.0110906109195155	-0.420457	0.832022
PLEKHF1	-0.251214113616699	0.160146959063178	-1.0765	0.691462
PLA2G16	0.365466000751291	0.0367712382281657	2.58647	0.418608
PGM5	0.23078793382722	0.130089225989214	inf	0.147302
RND2	0.321489034484736	0.146078728759338	-3.77694	0.559239
TFEB	0.272284604799697	0.170177007780038	inf	0.00505161
ZFYVE27	-0.0694587494013715	0.256891552654917	0.0437961	0.977559
ATG12	-0.365327678178103	0.0239562871400843	-0.301368	0.87944
RNMT	-0.316676540230565	0.0977192580527161	0.366029	0.876643
MASP1	0.210976865997657	0.25359353467526	0.508464	0.850094
ASTN1	0.279622898954161	0.141566679703645	-0.0764981	0.943616
SH3BGR	-0.0809524741332406	0.306065037218535	-inf	0.355513
FOSB	0.23801942610365	0.239186056139245	-0.398414	0.897252
RPAP2	-0.320015873835347	0.156311189400391	1.18654	0.526526
ASB5	0.182368766700381	0.130961406808999	-inf	0.27325
CENPK	0.342131063574648	0.226805634366809	0.302013	0.876643
MRPL51	-0.108327727009298	0.258693582447361	0.181299	0.916664
SEMA3F	0.207165319055173	0.238905719890465	-inf	0.106471
TMEM135	0.46147280341451	0.0946795586136356	1.79797	0.418608
FAM46C	0.155754430659922	0.264502165777514	1.9235	0.678021
G6PC	0.0624521804525361	0.332463973921849	-inf	0.352022
PREX1	0.703451954472285	0.00214662775929029	1.20644	0.418608
OVOL1	0.0947377605864059	0.324746837711802	-1.66146	0.526526
SLC25A45	0.195050153741085	0.204413925733755	0.923496	0.546949
ZNF789	0.292214905969371	0.200050818364283	1.33854	0.527952
CPE	-0.340989980299295	0.0303941713341809	-0.695408	0.670007
GNB1	0.270288495044152	0.0111720422780387	0.83843	0.483103
UPF3B	-0.392767311278181	0.067174714397745	0.00839076	0.99042
TRIM46	0.341813575081641	0.155255599062648	0.923499	0.776482
CXCR6	0.114858101609551	0.367501175135699	-0.0765007	0.95339
HPSE	-0.00810247357041553	0.405153538092902	-inf	0.00505161
CALD1	-1.34690136805336	0.0022966236803036	-1.05418	0.418608
AIG1	-0.403265387004885	0.126280399513096	0.974128	0.526526
ARHGEF25	-0.275357203750918	0.0414042917910776	0.560929	0.862976
ST6GAL1	0.207477677682355	0.2298359221338	-inf	0.00505161
NSMAF	-0.369735186063647	0.0947692235147017	-0.0879938	0.953589
ADSS	-0.509620280450495	0.0203150387179519	-1.55649	0.408735
SKIL	-0.0134144867575962	0.389775770109852	-0.409073	0.82409
HMGCS1	-0.214535151769069	0.209390757252296	0.235886	0.885586
LRRC27	0.381820478551541	0.0840565125727156	1.96303	0.265946
POLR3F	-0.118045534242802	0.224235805663125	-0.82496	0.603161
PYGO1	0.164032287999114	0.223892627359103	0.508464	0.845985
RAB10	-0.411856000056464	0.134523548707657	0.13867	0.936019
CNNM3	0.12774270142393	0.256181114094219	0.575562	0.890056
WRNIP1	-0.0932901106271415	0.12415620408362	-1.03069	0.526526
TSTD2	-0.324561076194348	0.042864959367228	0.977949	0.588832
ZBTB7B	-0.0220489750238661	0.389182614693515	-1.214	0.486008
ZNF2	0.109773050207585	0.322488423835973	1.24543	0.592889
ST3GAL5	-0.306442447061778	0.0514196332891492	1.09343	0.554707
ABCC13	0.130389850990505	0.302387113437353	inf	0.256542
DHRS1	-0.331181712109846	0.0598402055846805	-1.29889	0.434971
TSSK6	0.0503388881407792	0.357649451011206	-0.0764981	0.943122
NFKBIA	0.452286496040656	0.0265021921677692	-0.139692	0.93225
TYW1	-0.254462687312994	0.141986451968159	0.423079	0.802217
ANO3	0.0571542717655756	0.326414323836761	-0.0764981	0.943122
ZNF821	0.226507266460647	0.227636607604087	-0.661562	0.679291
GAK	0.0777603254503718	0.0398870005038134	0.10038	0.947469
SFT2D2	-0.648043065370807	0.0733999187087905	-0.398426	0.868974
CRTC1	0.0117853949387458	0.416493607619185	-0.0764981	0.966007
C16orf70	-1.2913024169653	0.00504957146783383	-1.14063	0.578663
CPT1A	0.389416258175652	0.0241894070558087	1.0141	0.418608
ALMS1	0.0887623242729654	0.322342401238304	-0.215901	0.908271
LMO1	-0.0623426573466262	0.322488423835973	-inf	0.232146
EIF3I	-0.0698744404884435	0.23918653399437	-0.157886	0.925431
DCN	-1.57799851212537	0.00185315622347374	-0.491536	0.767275
SUCLG2	-0.992906411544188	0.0710712282716733	-1.15896	0.511808
MLH1	-0.286468529597782	0.167341250664541	0.601576	0.635359
DEXI	-0.0053268796518575	0.396813641377258	0.660459	0.879405
ACTN1	-0.0750456288987993	0.187341262760615	0.115079	0.944532
CYB5A	0.396797416022079	0.0873801563800339	0.473699	0.808256
NRBF2	0.0477935485384989	0.329275067912611	-0.157418	0.934685
MKS1	-0.153687002961322	0.0588724341928162	0.701094	0.711596
FBXO6	-0.107370975673739	0.262157435335374	inf	0.355513
PDE1B	0.175560423711521	0.302100593374911	-inf	0.130101
KCTD3	-1.12928893158254	0.0320367505152728	-0.806659	0.531291
ITGAE	0.231747292419281	0.201731522525004	1.35646	0.470595
SLC30A3	0.0155742337152094	0.417883492369671	-inf	0.0339668
PLP1	0.0226970631221904	0.402605662218167	-0.0764981	0.964062
C14orf2	-0.217302922363156	0.246281074782287	0.947349	0.521429
COMMD6	-0.714491504199253	0.0960842067005648	-0.519846	0.704851
PTCHD1	0.260187386673891	0.205562321958269	-2.66146	0.526526
NARS2	-0.530189635572612	0.0202738093149453	-1.0765	0.76704
DOCK7	-0.303217128234088	0.193662098904175	0.235446	0.902013
TMLHE	-0.475477903337547	0.0129265402728088	-2.66145	0.418608
LIN28A	0.354050002581696	0.187341262760615	-1.0765	0.808041
FAM127B	-0.808096757544023	0.000936430511875621	-0.697987	0.743934
N6AMT2	-0.0531619087428554	0.298808891964416	0.338539	0.925718
DNAJB14	-0.0387794191041109	0.262157435335374	-0.145211	0.935984
HIST3H2BB	-0.0809022542808742	0.351855443847181	inf	0.418608
WRB	0.196690064462151	0.209977597422827	0.615381	0.705474
TSPAN17	0.266239993800699	0.0162729800545792	-1.0025	0.526234
MAP1S	0.419809636375969	0.0185202772872178	1.14589	0.418608
BNC2	0.425875196981039	0.0556244648702142	0.479895	0.774539
MAGED1	-0.520950764116089	0.0069089231991406	-0.0260197	0.978018
WDR3	-0.607814781705566	0.0580848188320232	-0.0495311	0.969822
TTC33	-0.102591943819894	0.264914001823112	-0.130946	0.946463
PCOLCE2	-0.632022360242006	0.00403813148148703	-1.47505	0.418608
ROR1	-0.503051616022806	0.0131542332637556	-1.88385	0.537531
PPM1N	-0.123638135014766	0.285760986052183	inf	0.280161
HSD17B14	-0.331244474864887	0.159916305818272	-1.66146	0.526526
ZFAND2B	0.153472077879616	0.084124112556318	-0.0386961	0.970882
TBC1D23	0.0968136074965331	0.352551217399823	0.149383	0.935976
SAMD4B	-0.419972124980984	0.00610428506475055	-0.905512	0.526526
FAM13B	1.06033721324902	0.0148239930731358	1.22836	0.418608
NRD1	-0.157670857780803	0.262733344087424	0.747338	0.675882
USP39	0.261337801824237	0.0404383806193403	0.438075	0.824415
MAP2K3	-0.447150632002865	0.0368749896059086	-1.97696	0.206518
ATXN2L	-0.00984086518334024	0.369289375169445	-0.135932	0.942566
FLT4	0.210342875121892	0.187281215656926	inf	0.0246733
SCAP	0.40403824662661	0.00715528401210431	1.37722	0.409356
C20orf96	0.0400655468767532	0.338163768347065	1.50846	0.526526
NARS	-0.405371022274424	0.0326369241091469	0.12358	0.942036
PRCC	-0.125578585429871	0.115616863100702	0.24543	0.953395
CCDC126	-0.945961817675711	0.0282246060664242	0.186536	0.943122
ADAMTSL1	0.276872499044106	0.0104534690660386	0.322909	0.859845
ZNF675	0.356584459651225	0.245612235778103	-0.0764981	0.9424
SMAP2	0.00909495397078234	0.416480946608562	0.785998	0.646766
CALCOCO1	-0.882925580532384	0.00614653511904341	-0.52716	0.712413
CWF19L2	-0.0547761263357701	0.32897765516671	-0.728575	0.771797
ZBTB32	0.25456206758481	0.239175515537085	-inf	0.282
RFC5	1.14105441937541	0.00482079321506571	1.23667	0.711256
BRAF	0.2554833066172	0.0214698239537865	0.167435	0.949759
PAX5	-0.000968788912114518	0.401303712410931	-0.0764981	0.964172
PEBP1	0.238558022185976	0.0118757015625726	0.851398	0.481732
AAK1	0.0508057395235759	0.33752677807411	0.903873	0.569761
FBXO2	-0.120177934429249	0.304052165705601	-2.39842	0.630425
RMND1	0.0351562635445465	0.399278206353555	0.140313	0.944608
COL1A2	-0.593522029008885	0.00293507947206794	-0.130563	0.936001
GMEB1	-0.0194019574552355	0.392569460354679	-0.0275885	0.982727
AANAT	0.132319832396992	0.35930394301799	-inf	0.297874
CRB1	0.0713421668563375	0.303075749761992	inf	0.0902152
GEMIN5	-0.43348928972294	0.0490097289339366	-0.512597	0.822714
UBR4	0.35615804945779	0.0994959607832246	0.202938	0.900229
LTBP3	-0.192871457249896	0.0621780123122098	0.170844	0.925431
CTTN	-0.635010307979584	0.010839005621798	-0.233125	0.908416
UTP15	-1.02793618616107	0.0533972691695004	-0.12022	0.945487
PROCR	0.412716019749497	0.00866303538453485	-0.298891	0.876643
MYBBP1A	-0.193343996248757	0.054285672566428	-0.689475	0.659057
HSBP1	-0.14796482385085	0.0598051492060011	-0.0825983	0.953395
PHF11	-0.104569536242971	0.270272669047859	-1.49154	0.350784
ZNF697	0.128739645686634	0.253929046458107	-0.689475	0.743446
PASK	0.0619311112262917	0.290820783746442	1.04898	0.648206
NDEL1	0.0931360233439152	0.0915122395546513	-0.171655	0.928145
USP8	0.442419971973215	0.169165059970269	0.539877	0.670456
BAIAP2	0.0449451660741002	0.359104815037636	0.274974	0.872577
ZNF503	-0.988578353203526	0.00214994441699332	-0.967269	0.533728
SI	0.164719087181195	0.177364971124086	inf	0.418608
GULP1	-0.532632463773594	0.0230150901615208	0.408929	0.822714
ARSJ	0.894452993891131	0.00361809483015576	2.30817	0.325297
KCNE4	-0.853195841994193	0.0574905394701823	-0.298891	0.908271
KCNS3	-0.111079677342045	0.25434838492932	-1.46882	0.437689
MBD1	0.0696230890591721	0.113649907086625	0.540173	0.681563
ITGAL	0.151132165537143	0.322195122408276	-0.661461	0.807215
WDR73	0.212732920699868	0.190298502582141	0.273444	0.876643
ARFGAP1	-0.544043933493466	0.00414191831877493	-0.756618	0.538175
ZBTB40	-0.296061849878493	0.0520025814425585	0.154827	0.939512
CH25H	-2.72963986308071	0.00132306753000904	-2.49154	0.418608
CYP4B1	0.30409293524248	0.154634047010298	-0.0764981	0.944773
LYPLAL1	-0.513558603309332	0.0472608866435572	-0.969583	0.564299
COL12A1	-0.223063348601486	0.134523548707657	0.485381	0.776296
FOLR3	0.186291874263434	0.165000448800512	1.24543	0.706809
CHST3	0.134543415862887	0.256772672618452	-0.491536	0.864763
TRIM62	-0.111266261969427	0.250153119315051	-1.19198	0.557701
MAP3K9	-0.545041774313033	0.0593733965633211	-1.4121	0.413476
ABLIM1	0.155947715732402	0.268300474066545	-2.0765	0.387964
BTAF1	0.00124250462810462	0.400624767910247	-0.127723	0.943435
TFAP2E	0.161094062013357	0.248633445318166	-inf	0.418608
RHBDD1	-0.0979928612927152	0.229295679654652	0.575579	0.774923
UQCRC2	-0.748625164402297	0.0329468137923644	-0.656494	0.633591
TTC26	0.0590795039199993	0.343024620407709	-0.3478	0.864763
FAM171A2	0.36220876966841	0.0791497279768419	2.73086	0.421225
MAEA	-0.335371711229337	0.0233278838627229	-0.304767	0.859368
ZNF22	0.364260328074391	0.0386555349922422	-1.19198	0.708341
RNPEPL1	-0.397779720885876	0.0840030697862853	-2.66148	0.305059
HYAL1	0.188936309991559	0.230569974173233	-inf	0.136714
CPSF2	0.0124558829408509	0.413577519109171	0.119644	0.944773
PSD3	-0.617164644593934	0.0914459109363039	-0.854106	0.502639
ISCA2	-0.458599059005734	0.161752870603794	-0.417545	0.910828
ABCA13	-0.522322846216141	0.0136168491423475	-2.39843	0.272926
AGR2	0.316597949195859	0.184979891194053	-inf	0.117057
PNP	0.853519786668257	0.00801548250780455	0.660468	0.729043
HDLBP	-0.188945347991642	0.140986442084098	-0.0550201	0.964644
PIGM	0.214126316281834	0.279971546641182	1.06646	0.526526
ACY3	0.153901157219302	0.305077345255344	-inf	0.418608
HECW1	0.0264388159758148	0.388836152653814	1.0755	0.532537
ACTR2	-0.598099544751267	0.0155753199956831	-1.16765	0.418608
ZNF519	0.160260360587209	0.152724543585139	-0.0764981	0.948188
HOPX	0.2078183877132	0.261103360110783	1.24543	0.589683
ZNF304	-0.584194913046588	0.049401295181444	1.02304	0.627966
FAM174B	0.215549610981992	0.24759661757722	-inf	0.0475521
PSPH	-0.0901146189222528	0.253528279230994	-1.0765	0.526526
MFSD3	-0.391394769552827	0.0363787660132551	-inf	0.244433
RAP1GDS1	0.528890675184186	0.0354369176785113	0.974126	0.418608
DARS2	0.919720690068967	0.0128852271482518	0.186536	0.943442
CDC25A	1.02058385420062	0.00400908344639813	1.96303	0.401695
ESM1	0.353589454834743	0.0300019616183819	-0.491536	0.764048
BAIAP2L1	-0.59129040055327	0.00504957146783383	-0.661581	0.92208
RCN3	0.0571555669830336	0.370102340137898	-inf	0.0755332
B3GNT5	0.490282623714835	0.0869271879855669	0.300065	0.878832
PTGER3	0.228808432656857	0.236849777601031	inf	0.130101
DBNL	-0.176924480699401	0.189102860583775	-0.30238	0.853188
USP30	-0.490810979347245	0.042557017257341	0.408925	0.872631
ADAM30	0.239075533897038	0.14536825988572	inf	0.418608
ARHGEF10L	0.102996054060694	0.293057202718081	-0.324426	0.876643
ATOX1	0.42574966123427	0.0363472939534316	0.230148	0.957944
KANK1	-0.0520401186537649	0.291164625568728	-0.813464	0.623652
BCL2L12	-0.00789202292092336	0.39504709527098	-0.491538	0.859733
ZNF416	0.135676309087076	0.295961628512924	inf	0.310131
ZNF225	0.237151767719302	0.255137062051932	2.50847	0.62483
C17orf70	0.0113801392288576	0.415831089674358	0.0490327	0.970939
DNASE1	0.238506361242616	0.190075780670263	0.841038	0.729667
C1orf106	0.262279603592538	0.230215725379068	-inf	0.212822
PTN	0.374148870005078	0.0860303787063127	0.601574	0.731847
ZNF554	0.088148003901903	0.364547351409608	0.923502	0.839809
HECA	-0.14780632855627	0.272187806908265	0.408929	0.912147
RAE1	-0.353239894346957	0.0902988637972321	-0.685914	0.609926
TNIK	-0.56096314692315	0.00337224283979422	-1.29223	0.418608
RNF122	0.120466067804623	0.309104091185373	inf	0.418608
ACTN3	0.0290681879820257	0.384111439351063	-inf	0.404033
MGC45922	0.0978376705416362	0.369289375169445	inf	0.418608
CCNA1	-0.0129117971279552	0.397260075460848	inf	0.409356
ELP4	-0.040323560863535	0.347930504720975	-0.298891	0.912997
FAM65A	-0.0889880645268108	0.0679628848253571	0.204684	0.895174
RYK	-0.738703928993789	0.0156905194234533	-0.152447	0.939616
LRP3	0.264434432868558	0.241290058079694	-inf	0.282
QARS	-0.596452328108123	0.00727548747216401	-0.349517	0.834704
BID	0.14061595168152	0.0732452627453604	0.423931	0.805988
MACF1	0.480256735196122	0.129708007134099	0.904315	0.463407
SEC24D	0.185768664564542	0.221220788747474	0.25365	0.89299
TGFB2	-1.63393892341538	0.00227413679403807	-2.15312	0.110208
MDFIC	0.134524999587831	0.0924986916599143	1.25693	0.418608
HSPB8	-0.347196740607813	0.0851001135995127	-0.381353	0.876643
PCMTD2	-1.43017013700541	0.00277863026162077	-1.13095	0.526526
TMEM160	0.468543527956693	0.0261867031255269	0.186536	0.953589
NUFIP2	-0.820267016048042	0.0261899669354143	-0.633716	0.657441
MBNL2	-1.04660934786462	0.0069089231991406	-0.439068	0.84053
ZDHHC2	0.559515669616752	0.0654902097508396	2.19652	0.26212
ADD3	-1.35763348953571	0.00825557123597199	-1.77694	0.165929
ATP6V0D1	-0.279641826637897	0.00420162442689715	0.803208	0.526526
MTA2	-0.269186631547154	0.0848609072748923	-0.436674	0.792203
KIAA1279	-0.71021087665642	0.0269076795483812	-1.13539	0.526526
AXIN1	0.0217376529415388	0.400817039999653	-1.66146	0.418608
RAP1A	-0.499024179899102	0.111131517003491	-0.0502627	0.975721
TRIO	-0.105881158399345	0.218139994510651	-0.310963	0.846468
POLR1C	-0.131144294271588	0.0360839774713543	1.27714	0.659797
NUBP2	0.142123684188894	0.259670503473737	-0.0764993	0.964172
RAB42	0.597882539823512	0.15631187300403	-inf	0.526526
ZNF385D	-0.14223773276744	0.219101224400242	0.16451	0.943122
ID3	-1.3128352124669	0.0139396696161342	-3.24642	0.188088
DEPDC1B	-0.0909749943987953	0.265925383631685	-1.66146	0.418608
POU4F2	0.235341812827554	0.217116329757694	-0.0764981	0.908271
ZNF473	0.761886560338586	0.00411081139114991	1.09343	0.728814
IQCK	0.580694543889843	0.0218226244274552	-0.0765129	0.962866
MTM1	-0.803777662423348	0.00160640191155112	-0.697987	0.739985
GPR107	0.0639268790194557	0.33252604198144	0.108342	0.944773
FAM43B	0.195211723580525	0.269240716092529	-1.0765	0.762906
RECQL	0.0422664589783972	0.419162335808122	0.0490328	0.969959
AP1G1	-0.099644301176099	0.294939044577297	-0.605609	0.636362
NLRC4	0.17275166634474	0.0935100745313044	0.923502	0.862825
CTNNBL1	-0.163240295548137	0.0358637940088832	0.0742818	0.957944
ENPP4	0.232501433152513	0.106670556836293	0.075505	0.966007
ECHDC1	-0.18328400443945	0.271351474580726	0.408929	0.795761
RNF170	0.325760376327522	0.175500110905993	0.315847	0.938242
SMARCC1	-0.450347636034417	0.0465170897810448	-0.86409	0.526526
KCNE1	0.00400217671461754	0.409944819259083	-0.0764981	0.948094
POLG2	-0.461259124714997	0.0197147014145335	-0.53593	0.810241
SLC37A3	0.598850010860169	0.00504957146783383	0.730855	0.531058
TRMT61B	-0.650302439341246	0.0562505542505635	1.68902	0.729809
TPD52L2	-0.615525848804923	0.00660454691180651	-0.501186	0.728615
IRF1	0.0207823024204537	0.344378117978548	-0.491536	0.773986
PTPRE	-0.169757650006821	0.139208703339755	-0.661461	0.631131
PTK2B	-0.310725832548561	0.0435813239490745	-1.63593	0.26212
UNC5B	-0.14125121363674	0.156411741137581	-0.491536	0.871134
SDHB	-0.1714999255136	0.195754307449966	0.601574	0.704656
NXNL2	0.35123578196739	0.159572907724972	0.24543	0.942384
SOX4	0.0230004095805449	0.406870046993606	-0.0764981	0.956925
TSPAN3	0.0671789317700041	0.31994672833263	0.996258	0.455444
MFSD6	-0.879032462517328	0.0045861097815046	-2.49154	0.318866
FBXW8	-0.398488063923683	0.00281209455168077	0.639709	0.771907
SH2D1A	0.0277520984637881	0.418241339687684	inf	0.35639
PTPLAD1	0.428769207405458	0.0849328660407799	1.27898	0.404839
MYO3B	0.384895740187258	0.0465981080499227	-0.0764941	0.966672
DUSP22	0.167341580825522	0.255175254377025	0.660467	0.795761
USP20	-0.168029499217437	0.107586387732967	-0.398426	0.91643
CALB1	-0.0299873553365715	0.366031625391552	-1.39843	0.474255
DERA	0.0212026472936304	0.415853551826209	0.421002	0.814664
L3MBTL2	0.0308903494948675	0.356516775493889	-0.661462	0.795761
MCRS1	-0.183350959688864	0.0116210423382539	0.172861	0.925075
C18orf8	-0.279960392565914	0.0221968076831088	0.201038	0.952631
GINS3	0.149388497829662	0.0944082176387748	-0.491547	0.848911
TPP2	-0.179319189074951	0.211741887796511	0.666006	0.63339
PKD1	0.0947465200133776	0.280636395719045	-0.398427	0.820467
